id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
platform_brace_0001,platform_brace,平台平面支撑,ZJ8_PLATFORM_BRACE,1,L90x90,P1_0_30000:S1_0_12000,alternating-x,0.0,-2875.0,17000.0,3000.0,2875.0,17288.867145,6491.990775
platform_brace_0002,platform_brace,平台平面支撑,ZJ8_PLATFORM_BRACE,1,L90x90,P1_0_30000:S1_0_12000,alternating-x,3000.0,2875.0,17288.867145,6000.0,-2875.0,17577.734289,6491.990775
platform_brace_0003,platform_brace,平台平面支撑,ZJ8_PLATFORM_BRACE,1,L90x90,P1_0_30000:S1_0_12000,alternating-x,6000.0,-2875.0,17577.734289,9000.0,2875.0,17866.601434,6491.990775
platform_brace_0004,platform_brace,平台平面支撑,ZJ8_PLATFORM_BRACE,1,L90x90,P1_0_30000:S1_0_12000,alternating-x,9000.0,2875.0,17866.601434,12000.0,-2875.0,18155.468578,6491.990775
deck_main_beam_0009,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S2_12000_24000,double-side-cantilever,12000.0,-2875.0,18155.468578,15000.0,-2875.0,18444.335723,3013.875284
deck_main_beam_0010,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S2_12000_24000,double-side-cantilever,15000.0,-2875.0,18444.335723,18000.0,-2875.0,18733.202868,3013.875284
deck_main_beam_0011,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S2_12000_24000,double-side-cantilever,18000.0,-2875.0,18733.202868,21000.0,-2875.0,19022.070012,3013.875284
deck_main_beam_0012,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S2_12000_24000,double-side-cantilever,21000.0,-2875.0,19022.070012,24000.0,-2875.0,19310.937157,3013.875284
deck_main_beam_0013,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S2_12000_24000,double-side-cantilever,12000.0,2875.0,18155.468578,15000.0,2875.0,18444.335723,3013.875284
deck_main_beam_0014,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S2_12000_24000,double-side-cantilever,15000.0,2875.0,18444.335723,18000.0,2875.0,18733.202868,3013.875284
deck_main_beam_0015,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S2_12000_24000,double-side-cantilever,18000.0,2875.0,18733.202868,21000.0,2875.0,19022.070012,3013.875284
deck_main_beam_0016,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S2_12000_24000,double-side-cantilever,21000.0,2875.0,19022.070012,24000.0,2875.0,19310.937157,3013.875284
deck_cross_beam_0015,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_30000:S2_12000_24000,double-side-cantilever,15000.0,-2200.0,18444.335723,15000.0,2700.0,18444.335723,4900.0
